epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.5477,2.53781,10.459,1.44597,2.09464,2.08241,0.75238,0.61399,0.603,0.17716,0,0,0,0,2.56493,10.6178,1.39472,1.44575,1.83957,0.00326389,0.00326389,0.00326389
2,17.7113,2.02514,9.91339,1.40428,1.2595,1.51007,0.66664,0.69423,0.62805,0.18168,0,0,0,0,2.50727,10.2781,1.38356,1.59298,1.63926,0.00659505,0.00659505,0.00659505
3,26.1188,1.97285,9.45741,1.39555,1.32211,1.46435,0.72532,0.6114,0.54085,0.09996,0,0,0,0,2.91842,10.0372,1.35209,1.81549,1.8984,0.009924,0.009924,0.009924
4,34.3809,1.91731,9.10364,1.38517,1.47131,1.46319,0.8496,0.6943,0.73883,0.25209,0,0,0,0,2.357,10.1294,1.30215,2.09733,1.46402,0.0099901,0.0099901,0.0099901
5,42.785,1.84163,8.97599,1.35207,1.37463,1.40067,0.758,0.73032,0.71865,0.2737,4e-05,0.00518,2e-05,0,2.1022,9.74567,1.32347,1.52148,1.42979,0.0099868,0.0099868,0.0099868
6,51.1976,1.81694,8.23401,1.32732,1.21252,1.36543,0.72006,0.69948,0.69759,0.23023,0.01007,0.01036,0.00021,2e-05,2.24826,9.4815,1.2658,1.60847,1.57184,0.0099835,0.0099835,0.0099835
7,60.3347,1.74032,7.93006,1.30805,1.19798,1.3438,0.72469,0.72284,0.72584,0.26332,0.03875,0.03109,0.00314,0.00044,2.15859,8.93345,1.23697,1.51991,1.44171,0.0099802,0.0099802,0.0099802
8,69.321,1.70689,7.53293,1.27849,1.15671,1.29559,0.82499,0.70466,0.74057,0.25226,0.03845,0.03109,0.00323,0.00034,2.30878,8.24016,1.17042,1.50678,1.51134,0.0099769,0.0099769,0.0099769
9,78.3951,1.67564,7.16305,1.25059,1.12261,1.29079,0.86952,0.71503,0.74465,0.28563,0.04606,0.04663,0.00456,0.00059,2.20343,7.84607,1.12807,1.63931,1.52359,0.0099736,0.0099736,0.0099736
10,88.4841,1.62837,6.83855,1.22139,1.08256,1.30556,0.84819,0.74093,0.78253,0.28404,0.08469,0.09845,0.01336,0.00161,2.25883,7.72903,1.05726,1.35702,1.52686,0.0099703,0.0099703,0.0099703
11,97.4998,1.65919,6.5504,1.18485,1.04053,1.29193,0.8928,0.76166,0.81851,0.38268,0.18487,0.15544,0.06161,0.0117,1.9203,7.3168,1.03065,1.3462,1.36771,0.009967,0.009967,0.009967
12,107.074,1.60085,6.30499,1.17503,1.06885,1.3052,0.84755,0.72013,0.76889,0.29919,0.17147,0.1658,0.04142,0.00652,2.11966,7.14888,0.99042,1.43139,1.47469,0.0099637,0.0099637,0.0099637
13,116.19,1.57023,6.26543,1.14062,1.04707,1.28652,0.81147,0.71367,0.72653,0.23652,0.18257,0.28497,0.06935,0.01415,2.19563,6.96789,0.95758,1.68077,1.59142,0.0099604,0.0099604,0.0099604
14,125.4,1.51929,5.82389,1.10351,1.07849,1.26007,0.83851,0.73575,0.7781,0.28651,0.21999,0.19171,0.0611,0.01321,2.0667,6.67088,0.90866,1.46351,1.5221,0.0099571,0.0099571,0.0099571
15,134.56,1.54097,5.64276,1.12029,1.00319,1.26342,0.79463,0.76184,0.74195,0.27559,0.19259,0.15026,0.05288,0.01439,2.10439,6.71465,0.92279,1.47213,1.47283,0.0099538,0.0099538,0.0099538
16,143.693,1.48856,5.5121,1.11672,1.01637,1.23223,0.82313,0.79574,0.78212,0.31356,0.14781,0.25907,0.06424,0.01248,1.97923,6.4895,0.90141,1.36443,1.41703,0.0099505,0.0099505,0.0099505
17,152.817,1.52356,5.42317,1.10708,1.02147,1.25301,0.80164,0.7513,0.73474,0.25947,0.24918,0.24074,0.09958,0.02539,2.08022,6.08331,0.89721,1.46198,1.51173,0.0099472,0.0099472,0.0099472
18,161.909,1.56954,5.18874,1.0911,1.03708,1.27687,0.82886,0.72021,0.74412,0.24617,0.24091,0.27979,0.11264,0.01981,2.14537,6.11269,0.90596,1.56441,1.57606,0.0099439,0.0099439,0.0099439
19,171.048,1.45949,4.96851,1.0625,0.98697,1.2314,0.85448,0.76684,0.80557,0.31788,0.32754,0.46942,0.24928,0.06498,1.99525,5.54743,0.88281,1.32483,1.47508,0.0099406,0.0099406,0.0099406
20,180.189,1.48844,4.85675,1.10379,0.97949,1.24587,0.82005,0.74093,0.77414,0.29144,0.43332,0.42487,0.29042,0.07556,2.04216,5.40817,0.87688,1.36257,1.48247,0.0099373,0.0099373,0.0099373
21,189.382,1.43982,4.45866,1.08671,0.98087,1.22388,0.77083,0.73575,0.71303,0.23522,0.21078,0.40406,0.12643,0.03101,2.16606,5.68728,0.86675,1.46237,1.59061,0.009934,0.009934,0.009934
22,197.829,1.52011,4.58809,1.09121,1.03916,1.24182,0.7869,0.7653,0.74527,0.30077,0.32556,0.35233,0.1639,0.04044,2.12906,5.28399,0.87405,1.30848,1.47737,0.0099307,0.0099307,0.0099307
23,206.683,1.48559,4.33761,1.06275,1.00984,1.21344,0.71468,0.70984,0.67762,0.24512,0.21668,0.30385,0.09987,0.03393,2.03523,5.74946,0.86612,1.46628,1.46288,0.0099274,0.0099274,0.0099274
24,215.807,1.51013,4.45716,1.09332,1.03823,1.26204,0.796,0.73057,0.71597,0.26266,0.43326,0.39896,0.22958,0.05837,1.96269,5.26782,0.85224,1.43868,1.44484,0.0099241,0.0099241,0.0099241
